Temperature Map

Sensor      Real Value
0           -20
14          -19
28          -18
42          -17
56          -16
70          -15
84          -14
98          -13
112         -12
126         -11
140         -10
154          -9
168          -8
182          -7
196          -6
210          -5
224          -4
238          -3
252          -2
266          -1
280           0
294           1
308           2
322           3
336           4
350           5
364           6
378           7
392           8
406           9
420          10
434          11
448          12
462          13
476          14
490          15
504          16
518          17
532          18
546          19
560          20
574          21
588          22
602          23
616          24
630          25
644          26
658          27
672          28
686          29
700          30
714          31
728          32
742          33
756          34
770          35
784          36
798          37
812          38
826          39
840          40
854          41
868          42
882          43
896          44
910          45
924          46
938          47
952          48
966          49
980          50
994          51
1008         52
1022         53
